horizon_steps,horizon_min,model,n,mae_kw,rmse_kw,nrmse,r2
1,15,PGNN,11519,5.595517105137941,12.088304947880646,0.02755483234073546,0.9705173861909048
1,15,PGNN-APSC,11519,5.176199281044388,12.053840424466166,0.027476271767645697,0.9706852601400712
1,15,PGNN-ASCF,11519,4.854651446132992,11.654924135916158,0.026566957227983037,0.9725934688016559
1,15,PG-GRU-ASCF reference,11519,4.551362991333008,11.357042831432837,0.02588794809991529,0.9739764928817749
4,60,PGNN,11516,9.799181237158187,19.431548114499595,0.04429347644061909,0.923827130868893
4,60,PGNN-APSC,11516,11.661315353914418,21.16312353492904,0.04824053689293148,0.9096464868525441
4,60,PGNN-ASCF,11516,8.86565823680143,17.030974429319606,0.038821459834327804,0.9414853646088958
4,60,PG-GRU-ASCF reference,11516,9.326955795288086,17.466269984120913,0.03981369953070644,0.9384559988975525
