,ghi_mean,ghi_std,ghi_max,ghi_cv,pv_energy_kwh,pv_peak_kw,load_mean_kw,load_energy_kwh,bess_dis_energy_kwh,bess_ch_energy_kwh,grid_imp_energy_kwh,grid_exp_energy_kwh,temp_mean_c,temp_max_c,day_type
2024-01-01,493.0955188679245,295.94447270331625,893.97,0.6001767636882234,2306.359066694973,391.14656575521,73.02236754633522,949.2907781023579,20.883400152747846,99.3237870049972,97.26132693390085,339.78402190158744,33.051509433962266,36.44,high_variability
2024-01-02,672.5881603773585,363.0110361909545,1120.12,0.539722608241105,2811.801106303929,369.3705342610699,115.613478994861,1531.8785966819082,92.84509912738574,174.76417938061053,164.13414723674495,72.8103940294822,36.97900943396227,41.59,partly_variable
2024-01-03,459.28287735849057,264.1686058503588,833.22,0.5751762560139237,2185.985719720523,369.2955729166667,132.296906686019,1752.9340135897517,131.1778064589015,24.07516164332621,455.74943102399516,0.0,37.729528301886795,42.28,high_variability
2024-01-04,511.00254716981135,293.3795242106706,906.92,0.5741253655887896,2371.7238340973818,417.7314046223933,121.58800041727125,1611.0410055288437,79.55229097977285,103.31969122340269,331.50220158696146,0.3372189303239167,35.27721698113207,39.39,high_variability
2024-01-05,441.40749999999997,266.85612381991973,905.33,0.6045572941554451,1679.398242185508,354.59718831379996,113.0778438428525,1498.2814309177954,12.55671405668055,29.842958456215776,604.3392589886982,0.06820920109748832,37.24938679245283,41.25,high_variability
2024-01-06,470.9545754716981,277.19880641702446,828.92,0.5885892628591368,1906.452988644441,368.1074829101567,54.812680634382986,726.2680184055746,27.21162805426863,290.74890108034,133.7907961308955,183.87726752087477,34.78221698113207,38.27,high_variability
2024-01-07,587.0065094339623,326.794895761845,1015.05,0.5567142621245652,2360.5493094225726,367.85457356770667,61.588240806230104,816.0441906825488,30.481133103137843,179.1239125390229,94.94425632307941,413.1545713543897,35.718254716981136,39.71,partly_variable
2024-01-08,548.5297169811321,307.7834320764125,973.28,0.5611062127505475,2552.6294497946897,408.6852010091167,150.89714030490364,1999.3871090399732,189.22236174841743,27.73156786213326,436.15907554049016,0.09558373068770079,31.858773584905663,35.42,partly_variable
2024-01-09,629.988679245283,347.0312090223034,1053.53,0.5508530874523676,2957.40968240301,390.8573913574233,145.60399149651874,1929.2528873288736,27.656000658947324,40.351993516378585,331.14536197980254,0.62902200222015,34.53891509433962,38.48,partly_variable
2024-01-10,579.8667924528302,311.40092272060554,1011.38,0.5370214793700862,2620.4583120346056,421.7047932942733,135.79155164355203,1799.2380592770646,11.321381000801926,29.37230957637075,385.59324150284175,0.0,33.873773584905656,38.08,clear
2024-01-11,595.7684433962264,313.83420790483683,957.15,0.52677212326957,2781.346513370677,419.8733113606766,150.0056762391138,1987.575210168258,15.992303499253454,11.204997460823455,447.1886967221893,0.0,36.742924528301884,40.67,clear
2024-01-12,580.0116981132076,341.83770529800705,1031.57,0.5893634669956029,2693.2343644499806,399.0005493164067,144.05284008281842,1908.700131097344,19.798339961096637,34.80331289581966,447.91000076134907,0.0,36.40334905660377,40.27,high_variability
2024-01-13,548.9149528301887,290.9194519827522,933.35,0.5299900293893988,2578.6478081742894,411.81259155273665,69.13926225939119,916.0952249369333,15.445463538169948,296.7027189363959,98.68251592914267,320.3137418006871,36.77594339622642,40.17,clear
2024-01-14,577.3438679245282,326.3235500503201,1009.9,0.5652152351135352,2738.9437372287116,406.47238159179665,66.1368592582033,876.3133851711938,25.33774220407934,182.17049163215177,68.67512939373626,547.3507640908124,37.20311320754717,40.51,high_variability
2024-01-15,508.956037735849,283.5667993211966,901.03,0.5571538174155019,2434.6104849576923,393.55506388346333,170.71965173788868,2262.035385527025,175.48572017718107,2.717873179664217,627.7725602785748,0.0,37.75915094339622,40.76,partly_variable
2024-01-16,416.12259433962265,246.47602125382488,786.03,0.5923158814410855,1569.740292648473,289.30167643229,148.88536518057012,1972.7310886425541,10.429555798162834,5.070210775050012,1020.2630763053913,0.0,35.877028301886796,39.46,high_variability
2024-01-17,476.8496698113208,289.2760445204935,892.33,0.6066399178486458,2285.389313737549,395.38549804687335,153.14909675599333,2029.2255320169118,10.05816437009101,4.985512586931403,604.0986513296748,0.0,35.008396226415094,38.55,high_variability
2024-01-18,483.49580188679244,282.5162013180078,885.97,0.5843198642377401,2498.2461873888983,396.5182393391966,151.6234524737278,2009.0107452768937,10.298275572403059,17.5853801664587,528.6798655589422,0.0,33.01721698113207,36.37,high_variability
2024-01-19,497.2490566037736,299.2108747558647,889.22,0.6017324131281099,2594.7061681350074,387.4765421549467,149.90480037512904,1986.2386049704596,11.389351157461858,18.410396899213044,464.9966004888211,0.189723923802375,33.06495283018868,37.01,high_variability
2024-01-20,299.7051886792453,183.1373031170672,602.2,0.611058166607409,1246.2192179957992,183.76894632975,46.11715892308734,611.0523557309073,23.057614502186617,281.8585163851578,138.88230739037198,0.0,35.79306603773585,39.36,high_variability
2024-01-21,406.36990566037736,235.15638157035025,724.22,0.5786756801988225,1892.505272924901,322.54368082682,49.971268837739935,662.119312100054,28.693209528302262,189.29362650159345,65.03148677696792,218.9268133938306,35.93900943396226,39.38,high_variability
2024-01-22,495.57443396226415,277.01569335736195,822.1,0.5589789835253194,2467.2886152863516,406.5314737955701,192.6828840242775,2553.048213321677,196.94218944804743,7.631938679609448,544.6966470082615,0.0,37.45264150943396,41.53,partly_variable
2024-01-23,567.9853773584905,319.34371332054565,975.5,0.5622393217334328,2550.45822282632,394.6686808268234,188.79070903485047,2501.4768947117686,11.713694782927645,5.068171947263177,1099.5641326904301,0.0,39.08410377358491,42.65,partly_variable
2024-01-24,510.07155660377356,284.5959106951986,890.0,0.5579529127052938,2139.321743309495,389.98673502604333,181.4855300745806,2404.683273488193,12.881521156678586,5.638124299390855,713.1194906234759,0.0,36.77400943396226,39.58,partly_variable
2024-01-25,561.6211320754717,317.05519741456374,973.12,0.5645357329110567,2693.663629134494,377.74433390299333,183.14782701948735,2426.7087080082074,11.596494282906242,4.646899591432877,931.4564991792028,0.0,35.43316037735849,39.35,high_variability
2024-01-26,472.6070283018868,266.5503283252566,780.53,0.563999924594842,2767.5426709651942,419.53080240885333,145.62627001294132,1929.5480776714724,17.393211893737327,36.91780164993044,210.53547851244565,0.0,34.548349056603776,39.26,partly_variable
2024-01-27,517.0077830188679,297.86379116095014,927.95,0.5761301878700725,2144.6105388601623,403.3837890625,54.56375683964746,722.969778125329,5.48441265275078,295.47633637751795,139.60669441024447,291.09120885531127,32.96433962264151,36.81,high_variability
